,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.913538082,0,0,1,1.00E-07
2,0,1.00263224,0,0,1,1.00E-07
3,0,0.960970781,0,0,1,1.00E-07
4,0,0.903643019,0,0,1,1.00E-07
5,122.1591579,0.988536226,0,0,1,1.00E-07
6,122.1591579,1.005826911,0,0,1,1.00E-07
7,122.1591579,0.981117239,0,0,1,1.00E-07
8,122.1591579,0.926500926,0,0,1,1.00E-07
9,244.3183158,0.9879465,0,0,1,1.00E-07
10,244.3183158,1.003974075,0,0,1,1.00E-07
11,244.3183158,0.976485796,0,0,1,1.00E-07
12,244.3183158,0.909512311,0,0,1,1.00E-07
13,366.4774737,0.977961841,0,0,1,1.00E-07
14,366.4774737,0.827763915,0,0,1,1.00E-07
15,366.4774737,0.969070803,0,0,1,1.00E-07
16,366.4774737,0.923400034,0,0,1,1.00E-07
17,488.6366316,0.989963498,0,0,1,1.00E-07
18,488.6366316,1.027665255,0,0,1,1.00E-07
19,488.6366316,0.955804369,0,0,1,1.00E-07
20,488.6366316,0.911151657,0,0,1,1.00E-07
21,610.7957895,1,0,0,1,1.00E-07
22,610.7957895,1.023340905,0,0,1,1.00E-07
23,610.7957895,0.950458425,0,0,1,1.00E-07
24,610.7957895,0.874696911,0,0,1,1.00E-07
25,732.9549474,0.987456836,0,0,1,1.00E-07
26,732.9549474,0.990698365,0,0,1,1.00E-07
27,732.9549474,0.938994137,0,0,1,1.00E-07
28,732.9549474,0.862206593,0,0,1,1.00E-07
29,855.1141053,0.959973287,0,0,1,1.00E-07
30,855.1141053,0.959096357,0,0,1,1.00E-07
31,855.1141053,0.916324076,0,0,1,1.00E-07
32,855.1141053,0.838687829,0,0,1,1.00E-07
33,977.2732632,0.981246097,0,0,1,1.00E-07
34,977.2732632,0.994146113,0,0,1,1.00E-07
35,977.2732632,0.901356171,0,0,1,1.00E-07
36,977.2732632,0.851624649,0,0,1,1.00E-07
37,1099.432421,0.983720611,0,0,1,1.00E-07
38,1099.432421,0.993285947,0,0,1,1.00E-07
39,1099.432421,0.911620507,0,0,1,1.00E-07
40,1099.432421,0.871633186,0,0,1,1.00E-07
41,1221.591579,0.93839076,0,0,1,1.00E-07
42,1221.591579,0.981237757,0,0,1,1.00E-07
