Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.916335326,0,0,1,1.00E-07
2,122.1591579,0.909468711,0,0,1,1.00E-07
3,244.3183158,0.887867791,0,0,1,1.00E-07
4,366.4774737,0.913338065,0,0,1,1.00E-07
5,488.6366316,0.864052809,0,0,1,1.00E-07
6,610.7957895,0.879683703,0,0,1,1.00E-07
7,732.9549474,0.839575597,0,0,1,1.00E-07
8,855.1141053,0.840986024,0,0,1,1.00E-07
9,977.2732632,0.807030921,0,0,1,1.00E-07
10,1099.432421,0.858680381,0,0,1,1.00E-07
11,1221.591579,0.781464736,0,0,1,1.00E-07
12,1343.750737,0.846493629,0,0,1,1.00E-07
13,1465.909895,0.785222584,0,0,1,1.00E-07
14,1588.069053,0.72322397,0,0,1,1.00E-07
15,1710.228211,0.73082683,0,0,1,1.00E-07
16,1832.387368,0.678301869,0,0,1,1.00E-07
17,0,0.806992106,0,0,2,1.00E-07
18,122.1591579,0.616728343,0,0,2,1.00E-07
19,244.3183158,0.652777823,0,0,2,1.00E-07
20,366.4774737,0.744758694,0,0,2,1.00E-07
21,488.6366316,0.722354586,0,0,2,1.00E-07
22,610.7957895,0.701765431,0,0,2,1.00E-07
23,732.9549474,0.65994253,0,0,2,1.00E-07
24,855.1141053,0.733484963,0,0,2,1.00E-07
25,977.2732632,0.737487453,0,0,2,1.00E-07
26,1099.432421,0.68176233,0,0,2,1.00E-07
27,1221.591579,0.641663771,0,0,2,1.00E-07
28,1343.750737,0.756201139,0,0,2,1.00E-07
29,1465.909895,0.693617102,0,0,2,1.00E-07
30,1588.069053,0.668878637,0,0,2,1.00E-07
31,1710.228211,0.664635611,0,0,2,1.00E-07
32,1832.387368,0.605706843,0,0,2,1.00E-07
33,0,0.95536767,0,0,3,1.00E-07
34,182.1591579,0.955987257,0,0,3,1.00E-07
35,364.3183158,0.976805203,0,0,3,1.00E-07
36,546.4774737,0.976339295,0,0,3,1.00E-07
37,728.6366316,0.968718419,0,0,3,1.00E-07
38,910.7957895,0.96921073,0,0,3,1.00E-07
39,1092.954947,0.946169628,0,0,3,1.00E-07
40,1275.114105,0.975966572,0,0,3,1.00E-07
41,1457.273263,0.959440745,0,0,3,1.00E-07
42,1639.432421,0.969077797,0,0,3,1.00E-07
43,1821.591579,1,0,0,3,1.00E-07
44,2003.750737,0.966909092,0,0,3,1.00E-07
45,2185.909895,0.947366005,0,0,3,1.00E-07
46,2368.069053,0.97112827,0,0,3,1.00E-07
47,2550.228211,0.906090922,0,0,3,1.00E-07
48,2732.387368,0.828136084,0,0,3,1.00E-07
49,0,0.874729521,0,0,4,1.00E-07
50,182.1591579,0.893709226,0,0,4,1.00E-07
51,364.3183158,0.889703299,0,0,4,1.00E-07
52,546.4774737,0.895423734,0,0,4,1.00E-07
53,728.6366316,0.937603387,0,0,4,1.00E-07
54,910.7957895,0.91716918,0,0,4,1.00E-07
55,1092.954947,0.907062383,0,0,4,1.00E-07
56,1275.114105,0.875522807,0,0,4,1.00E-07
57,1457.273263,0.922718044,0,0,4,1.00E-07
58,1639.432421,0.948933925,0,0,4,1.00E-07
59,1821.591579,0.920120362,0,0,4,1.00E-07
60,2003.750737,0.907330399,0,0,4,1.00E-07
61,2185.909895,0.886643819,0,0,4,1.00E-07
62,2368.069053,0.87805685,0,0,4,1.00E-07
63,2550.228211,0.812180935,0,0,4,1.00E-07
64,2732.387368,0.679104269,0,0,4,1.00E-07
65,0,0.785555404,0,5.00E-07,1,1.00E-07
66,242.1591579,0.81551667,0,5.00E-07,1,1.00E-07
67,484.3183158,0.787891425,0,5.00E-07,1,1.00E-07
68,726.4774737,0.824628376,0,5.00E-07,1,1.00E-07
69,968.6366316,0.794909351,0,5.00E-07,1,1.00E-07
70,1210.795789,0.794723297,0,5.00E-07,1,1.00E-07
71,1452.954947,0.782954114,0,5.00E-07,1,1.00E-07
72,1695.114105,0.808239421,0,5.00E-07,1,1.00E-07
73,1937.273263,0.782711436,0,5.00E-07,1,1.00E-07
74,2179.432421,0.751315727,0,5.00E-07,1,1.00E-07
75,2421.591579,0.805056096,0,5.00E-07,1,1.00E-07
76,2663.750737,0.791367212,0,5.00E-07,1,1.00E-07
77,2905.909895,0.759181791,0,5.00E-07,1,1.00E-07
78,3148.069053,0.716735508,0,5.00E-07,1,1.00E-07
79,3390.228211,0.732932746,0,5.00E-07,1,1.00E-07
80,3632.387368,0.679302967,0,5.00E-07,1,1.00E-07
81,0,0.743174077,0,5.00E-07,2,1.00E-07
82,242.1591579,0.752879839,0,5.00E-07,2,1.00E-07
83,484.3183158,0.776572415,0,5.00E-07,2,1.00E-07
84,726.4774737,0.752763422,0,5.00E-07,2,1.00E-07
85,968.6366316,0.803484114,0,5.00E-07,2,1.00E-07
86,1210.795789,0.754748039,0,5.00E-07,2,1.00E-07
87,1452.954947,0.772257714,0,5.00E-07,2,1.00E-07
88,1695.114105,0.764730228,0,5.00E-07,2,1.00E-07
89,1937.273263,0.799843662,0,5.00E-07,2,1.00E-07
90,2179.432421,0.679911663,0,5.00E-07,2,1.00E-07
91,2421.591579,0.798711158,0,5.00E-07,2,1.00E-07
92,2663.750737,0.756954237,0,5.00E-07,2,1.00E-07
93,2905.909895,0.73289746,0,5.00E-07,2,1.00E-07
94,3148.069053,0.702891192,0,5.00E-07,2,1.00E-07
95,3390.228211,0.659416508,0,5.00E-07,2,1.00E-07
96,3632.387368,0.592649846,0,5.00E-07,2,1.00E-07
97,0,0.750395515,0,1.00E-06,1,1.00E-07
98,242.1591579,0.744371533,0,1.00E-06,1,1.00E-07
99,484.3183158,0.758106775,0,1.00E-06,1,1.00E-07
100,726.4774737,0.705998833,0,1.00E-06,1,1.00E-07
101,968.6366316,0.739344611,0,1.00E-06,1,1.00E-07
102,1210.795789,0.726957606,0,1.00E-06,1,1.00E-07
103,1452.954947,0.640248511,0,1.00E-06,1,1.00E-07
104,1695.114105,0.671770302,0,1.00E-06,1,1.00E-07
