,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.825086814,0,0,1,1.00E-07
2,122.1591579,0.745824136,0,0,1,1.00E-07
3,244.3183158,0.778094276,0,0,1,1.00E-07
4,366.4774737,0.779203343,0,0,1,1.00E-07
5,488.6366316,0.780883906,0,0,1,1.00E-07
6,610.7957895,0.748589561,0,0,1,1.00E-07
7,732.9549474,0.749296839,0,0,1,1.00E-07
8,855.1141053,0.732441998,0,0,1,1.00E-07
9,977.2732632,0.728532151,0,0,1,1.00E-07
10,1099.432421,0.717109187,0,0,1,1.00E-07
11,1221.591579,0.75757967,0,0,1,1.00E-07
12,1343.750737,0.746170297,0,0,1,1.00E-07
13,1465.909895,0.712464009,0,0,1,1.00E-07
14,1588.069053,0.701339969,0,0,1,1.00E-07
15,1710.228211,0.625307204,0,0,1,1.00E-07
16,1832.387368,0.55814281,0,0,1,1.00E-07
17,0,0.783721355,0,0,2,1.00E-07
18,122.1591579,0.837434122,0,0,2,1.00E-07
19,244.3183158,0.808513978,0,0,2,1.00E-07
20,366.4774737,0.852528782,0,0,2,1.00E-07
21,488.6366316,0.819241145,0,0,2,1.00E-07
22,610.7957895,0.830418616,0,0,2,1.00E-07
23,732.9549474,0.811550905,0,0,2,1.00E-07
24,855.1141053,0.85407702,0,0,2,1.00E-07
25,977.2732632,0.830168128,0,0,2,1.00E-07
26,1099.432421,0.94398656,0,0,2,1.00E-07
27,1221.591579,0.854822339,0,0,2,1.00E-07
28,1343.750737,0.851253795,0,0,2,1.00E-07
29,1465.909895,0.853383146,0,0,2,1.00E-07
30,1588.069053,0.857613417,0,0,2,1.00E-07
31,1710.228211,0.827856958,0,0,2,1.00E-07
32,1832.387368,0.723313795,0,0,2,1.00E-07
33,0,0.799124948,0,0,3,1.00E-07
34,122.1591579,0.813233546,0,0,3,1.00E-07
35,244.3183158,0.838579154,0,0,3,1.00E-07
36,366.4774737,0.83193734,0,0,3,1.00E-07
37,488.6366316,0.828502399,0,0,3,1.00E-07
38,610.7957895,0.804740274,0,0,3,1.00E-07
39,732.9549474,0.802913344,0,0,3,1.00E-07
40,855.1141053,0.777514177,0,0,3,1.00E-07
41,977.2732632,0.831950666,0,0,3,1.00E-07
42,1099.432421,0.846563253,0,0,3,1.00E-07
43,1221.591579,0.841582435,0,0,3,1.00E-07
44,1343.750737,0.775642056,0,0,3,1.00E-07
45,1465.909895,0.824572566,0,0,3,1.00E-07
46,1588.069053,0.741405328,0,0,3,1.00E-07
47,1710.228211,0.738982901,0,0,3,1.00E-07
48,1832.387368,0.637106502,0,0,3,1.00E-07
49,0,0.911772644,0,2.00E-06,1,1.00E-07
50,182.1591579,0.840143278,0,2.00E-06,1,1.00E-07
51,364.3183158,0.777285773,0,2.00E-06,1,1.00E-07
52,546.4774737,0.580281955,0,2.00E-06,1,1.00E-07
53,728.6366316,0.536787516,0,2.00E-06,1,1.00E-07
54,910.7957895,0.350136464,0,2.00E-06,1,1.00E-07
55,1092.954947,0.681391768,0,2.00E-06,1,1.00E-07
56,1275.114105,0.202028656,0,2.00E-06,1,1.00E-07
57,1457.273263,0.1714032,0,2.00E-06,1,1.00E-07
58,1639.432421,0.160517023,0,2.00E-06,1,1.00E-07
59,1821.591579,0.672396896,0,2.00E-06,1,1.00E-07
60,2003.750737,0.128017206,0,2.00E-06,1,1.00E-07
61,2185.909895,0.091381081,0,2.00E-06,1,1.00E-07
62,2368.069053,0.120565821,0,2.00E-06,1,1.00E-07
63,2550.228211,0.11565506,0,2.00E-06,1,1.00E-07
64,2732.387368,0.113493762,0,2.00E-06,1,1.00E-07
65,0,1,0,2.00E-06,2,1.00E-07
66,182.1591579,0.92663747,0,2.00E-06,2,1.00E-07
67,364.3183158,0.772316622,0,2.00E-06,2,1.00E-07
68,546.4774737,0.628158161,0,2.00E-06,2,1.00E-07
69,728.6366316,0.497043573,0,2.00E-06,2,1.00E-07
70,910.7957895,0.390142454,0,2.00E-06,2,1.00E-07
71,1092.954947,0.281879911,0,2.00E-06,2,1.00E-07
72,1275.114105,0.236367769,0,2.00E-06,2,1.00E-07
73,1457.273263,0.180711682,0,2.00E-06,2,1.00E-07
74,1639.432421,0.201837764,0,2.00E-06,2,1.00E-07
75,1821.591579,0.178378744,0,2.00E-06,2,1.00E-07
76,2003.750737,0.169322993,0,2.00E-06,2,1.00E-07
77,2185.909895,0.164340252,0,2.00E-06,2,1.00E-07
78,2368.069053,0.160902603,0,2.00E-06,2,1.00E-07
79,2550.228211,0.136928349,0,2.00E-06,2,1.00E-07
80,2732.387368,0.134877214,0,2.00E-06,2,1.00E-07
81,0,1,0,2.00E-06,3,1.00E-07
82,182.1591579,0.820261649,0,2.00E-06,3,1.00E-07
83,364.3183158,0.67553142,0,2.00E-06,3,1.00E-07
84,546.4774737,0.482941578,0,2.00E-06,3,1.00E-07
85,728.6366316,0.339167654,0,2.00E-06,3,1.00E-07
86,910.7957895,0.245007305,0,2.00E-06,3,1.00E-07
87,1092.954947,0.320627215,0,2.00E-06,3,1.00E-07
88,1275.114105,0.144667657,0,2.00E-06,3,1.00E-07
89,1457.273263,0.150399929,0,2.00E-06,3,1.00E-07
90,1639.432421,0.135331952,0,2.00E-06,3,1.00E-07
91,1821.591579,0.142283041,0,2.00E-06,3,1.00E-07
92,2003.750737,0.116086517,0,2.00E-06,3,1.00E-07
93,2185.909895,0.142800693,0,2.00E-06,3,1.00E-07
94,2368.069053,0.112814527,0,2.00E-06,3,1.00E-07
95,2550.228211,0.113997442,0,2.00E-06,3,1.00E-07
96,2732.387368,0.110287533,0,2.00E-06,3,1.00E-07
97,0,0.849540743,0,2.00E-06,4,1.00E-07
98,182.1591579,0.805532468,0,2.00E-06,4,1.00E-07
99,364.3183158,0.635486229,0,2.00E-06,4,1.00E-07
100,546.4774737,0.473987585,0,2.00E-06,4,1.00E-07
101,728.6366316,0.296371007,0,2.00E-06,4,1.00E-07
102,910.7957895,0.201529389,0,2.00E-06,4,1.00E-07
103,1092.954947,0.151083768,0,2.00E-06,4,1.00E-07
104,1275.114105,0.113130062,0,2.00E-06,4,1.00E-07
105,1457.273263,0.082888595,0,2.00E-06,4,1.00E-07
106,1639.432421,0.086968302,0,2.00E-06,4,1.00E-07
107,1821.591579,0.075940986,0,2.00E-06,4,1.00E-07
108,2003.750737,0.075319739,0,2.00E-06,4,1.00E-07
109,2185.909895,0.076383783,0,2.00E-06,4,1.00E-07
110,2368.069053,0.063501313,0,2.00E-06,4,1.00E-07
111,2550.228211,0.051804112,0,2.00E-06,4,1.00E-07
112,2732.387368,0.038217177,0,2.00E-06,4,1.00E-07
113,0,0.920813886,0,3.00E-06,1,1.00E-07
114,182.1591579,0.748903048,0,3.00E-06,1,1.00E-07
115,364.3183158,0.550997265,0,3.00E-06,1,1.00E-07
116,546.4774737,0.297768908,0,3.00E-06,1,1.00E-07
117,728.6366316,0.165126251,0,3.00E-06,1,1.00E-07
118,910.7957895,0.114521983,0,3.00E-06,1,1.00E-07
119,1092.954947,0.094936753,0,3.00E-06,1,1.00E-07
120,1275.114105,0.073265418,0,3.00E-06,1,1.00E-07
