,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.846346709,0,0,1,1.00E-07
2,122.1591579,0.865588102,0,0,1,1.00E-07
3,244.3183158,0.869455248,0,0,1,1.00E-07
4,366.4774737,0.862397761,0,0,1,1.00E-07
5,488.6366316,0.857551328,0,0,1,1.00E-07
6,610.7957895,0.874853616,0,0,1,1.00E-07
7,732.9549474,0.871699083,0,0,1,1.00E-07
8,855.1141053,0.872222233,0,0,1,1.00E-07
9,977.2732632,0.839425658,0,0,1,1.00E-07
10,1099.432421,0.873621993,0,0,1,1.00E-07
11,1221.591579,0.913613394,0,0,1,1.00E-07
12,1343.750737,0.874493701,0,0,1,1.00E-07
13,1465.909895,0.890049521,0,0,1,1.00E-07
14,1588.069053,0.837148897,0,0,1,1.00E-07
15,1710.228211,#DIV/0!,0,0,1,1.00E-07
16,1832.387368,0.709419758,0,0,1,1.00E-07
17,0,0.924723748,0,0,2,1.00E-07
18,122.1591579,0.934429169,0,0,2,1.00E-07
19,244.3183158,0.897075965,0,0,2,1.00E-07
20,366.4774737,1.016072958,0,0,2,1.00E-07
21,488.6366316,0.946289006,0,0,2,1.00E-07
22,610.7957895,0.931669403,0,0,2,1.00E-07
23,732.9549474,0.923535294,0,0,2,1.00E-07
24,855.1141053,0.921368258,0,0,2,1.00E-07
25,977.2732632,0.914148823,0,0,2,1.00E-07
26,1099.432421,0.89238449,0,0,2,1.00E-07
27,1221.591579,0.961104249,0,0,2,1.00E-07
28,1343.750737,0.958972372,0,0,2,1.00E-07
29,1465.909895,0.906065835,0,0,2,1.00E-07
30,1588.069053,0.94048774,0,0,2,1.00E-07
31,1710.228211,#DIV/0!,0,0,2,1.00E-07
32,1832.387368,0.787402837,0,0,2,1.00E-07
33,0,0.809445508,0,0,3,1.00E-07
34,122.1591579,0.947093216,0,0,3,1.00E-07
35,244.3183158,0.936981018,0,0,3,1.00E-07
36,366.4774737,0.976243292,0,0,3,1.00E-07
37,488.6366316,0.927259868,0,0,3,1.00E-07
38,610.7957895,0.954582394,0,0,3,1.00E-07
39,732.9549474,0.936129884,0,0,3,1.00E-07
40,855.1141053,0.956620596,0,0,3,1.00E-07
41,977.2732632,0.978657461,0,0,3,1.00E-07
42,1099.432421,0.959346615,0,0,3,1.00E-07
43,1221.591579,0.98028824,0,0,3,1.00E-07
44,1343.750737,0.987167102,0,0,3,1.00E-07
45,1465.909895,1,0,0,3,1.00E-07
46,1588.069053,0.98868737,0,0,3,1.00E-07
47,1710.228211,0.924141252,0,0,3,1.00E-07
48,1832.387368,0.870991966,0,0,3,1.00E-07
49,0,0.865158321,0,0,4,1.00E-07
50,122.1591579,0.872026155,0,0,4,1.00E-07
51,244.3183158,0.875767845,0,0,4,1.00E-07
