,Time,FRET,Error,Enzyme,Replicate,IDD,IDA,IAA,RNA
0,0,0,0,0,1,0,0,0,0.0000001
1,31,0.935298622,0,0,1,169,2443,17213,0.0000001
2,333,0.885314321,0,0,1,316,1916,13520,0.0000001
3,633,0.889195891,0,0,1,305,2056,14459,0.0000001
4,933,0.88912825,0,0,1,308,2088,14551,0.0000001
5,1233,0.891248118,0,0,1,302,2237,15558,0.0000001
6,1533,0.888233104,0,0,1,308,2204,15499,0.0000001
7,1833,0.896022861,0,0,1,286,2450,17111,0.0000001
8,2133,0.89307361,0,0,1,299,2216,15274,0.0000001
9,2433,0.891758718,0,0,1,297,2363,16623,0.0000001
10,2733,0.886030193,0,0,1,315,2180,15323,0.0000001
11,3033,0.889199498,0,0,1,307,2225,15545,0.0000001
12,3333,0.892999028,0,0,1,294,2419,16970,0.0000001
13,3633,0.883124428,0,0,1,323,2068,14585,0.0000001
14,3933,0.887240125,0,0,1,315,2536,17612,0.0000001
15,4233,0.885099775,0,0,1,324,2381,16421,0.0000001
16,4533,0.881811301,0,0,1,329,2275,15953,0.0000001
17,0,0,0,0,2,0,0,0,0.0000001
18,31,0.862201694,0,0,2,358,2240,15467,0.0000001
19,333,0.856246826,0,0,2,376,2110,14572,0.0000001
20,633,0.84104145,0,0,2,424,2115,14582,0.0000001
21,933,0.864056416,0,0,2,346,2115,14875,0.0000001
22,1233,0.875931155,0,0,2,317,2359,16303,0.0000001
23,1533,0.883147979,0,0,2,296,2912,20133,0.0000001
24,1833,0.881712034,0,0,2,300,2941,20342,0.0000001
25,2133,0.875468186,0,0,2,316,2367,16480,0.0000001
26,2433,0.87786592,0,0,2,309,2414,16811,0.0000001
27,2733,0.874286023,0,0,2,320,2341,16270,0.0000001
28,3033,0.884263967,0,0,2,293,2708,18710,0.0000001
29,3333,0.879770169,0,0,2,300,2382,16783,0.0000001
30,3633,0.872699541,0,0,2,321,2241,15751,0.0000001
31,3933,0.879960137,0,0,2,301,2566,17987,0.0000001
32,4233,0.870304492,0,0,2,327,2318,16339,0.0000001
33,4533,0.875340159,0,0,2,316,2583,18005,0.0000001
34,0,0,0,1.00E-06,1,0,0,0,0.0000001
35,31,0.864020581,0,1.00E-06,1,370,2351,16465,0.0000001
36,333,0.847723038,0,1.00E-06,1,430,2241,15414,0.0000001
37,633,0.844005188,0,1.00E-06,1,441,2254,15554,0.0000001
38,933,0.811295368,0,1.00E-06,1,555,2168,14960,0.0000001
39,1233,0.69206029,0,1.00E-06,1,1083,2466,16682,0.0000001
40,1533,0.581723295,0,1.00E-06,1,1786,2475,16406,0.0000001
41,1833,0.551480197,0,1.00E-06,1,2025,2818,18635,0.0000001
42,2133,0.515934802,0,1.00E-06,1,2425,2679,17066,0.0000001
43,2433,0.49058806,0,1.00E-06,1,2700,2502,15843,0.0000001
44,2733,0.489987611,0,1.00E-06,1,2643,2509,16269,0.0000001
45,3033,0.506311107,0,1.00E-06,1,2528,2555,16226,0.0000001
46,3333,0.48701229,0,1.00E-06,1,2713,2575,16461,0.0000001
47,3633,0.466924526,0,1.00E-06,1,3027,2581,16028,0.0000001
48,3933,0.484790406,0,1.00E-06,1,2743,2682,17109,0.0000001
49,4233,0.48385563,0,1.00E-06,1,2739,2599,16666,0.0000001
50,4533,0.471150464,0,1.00E-06,1,2932,2700,17019,0.0000001
51,0,0,0,1.00E-06,2,0,0,0,0.0000001
52,31,0.853118712,0,1.00E-06,2,365,2120,14921,0.0000001
53,333,0.811567967,0,1.00E-06,2,500,1910,13234,0.0000001
54,633,0.871475114,0,1.00E-06,2,314,2468,17296,0.0000001
55,933,0.848407865,0,1.00E-06,2,385,2368,16398,0.0000001
56,1233,0.676323682,0,1.00E-06,2,1048,2396,16326,0.0000001
57,1533,0.582751196,0,1.00E-06,2,1618,3019,19934,0.0000001
58,1833,0.54227689,0,1.00E-06,2,1922,2813,18433,0.0000001
59,2133,0.551441865,0,1.00E-06,2,1808,2955,19837,0.0000001
60,2433,0.506846573,0,1.00E-06,2,2219,2586,16919,0.0000001
61,2733,0.452474829,0,1.00E-06,2,2849,2424,15362,0.0000001
62,3033,0.497720364,0,1.00E-06,2,2311,2523,16439,0.0000001
63,3333,0.458708626,0,1.00E-06,2,2745,2614,16767,0.0000001
64,3633,0.494171464,0,1.00E-06,2,2373,2584,16631,0.0000001
65,3933,0.466290043,0,1.00E-06,2,2656,2769,17805,0.0000001
66,4233,0.447698574,0,1.00E-06,2,2868,2657,17053,0.0000001
67,4533,0.457196669,0,1.00E-06,2,2761,2783,17856,0.0000001
68,0,0,0,2.00E-06,1,0,0,0,0.0000001
69,31,0.842173913,0,2.00E-06,1,363,1937,13562,0.0000001
70,333,0.834550462,0,2.00E-06,1,380,2015,14257,0.0000001
71,633,0.629994679,0,2.00E-06,1,1172,2326,15808,0.0000001
72,933,0.453353959,0,2.00E-06,1,2549,2405,15429,0.0000001
73,1233,0.500562788,0,2.00E-06,1,2044,2735,18106,0.0000001
74,1533,0.491484886,0,2.00E-06,1,2139,2823,18519,0.0000001
75,1833,0.476290195,0,2.00E-06,1,2260,2883,19023,0.0000001
76,2133,0.410167527,0,2.00E-06,1,3127,2466,15380,0.0000001
77,2433,0.482881586,0,2.00E-06,1,2248,2885,18639,0.0000001
78,2733,0.453933077,0,2.00E-06,1,2522,2382,15409,0.0000001
79,3033,0.466353917,0,2.00E-06,1,2394,2560,16595,0.0000001
80,3333,0.407198105,0,2.00E-06,1,3140,2686,16889,0.0000001
81,3633,0.461769824,0,2.00E-06,1,2449,2595,16750,0.0000001
82,3933,0.468534543,0,2.00E-06,1,2389,2827,18204,0.0000001
83,4233,0.460702737,0,2.00E-06,1,2442,2778,18060,0.0000001
84,4533,0.478467631,0,2.00E-06,1,2289,2639,17043,0.0000001
85,0,0,0,2.00E-06,2,0,0,0,0.0000001
86,31,0.843348529,0,2.00E-06,2,378,2035,14139,0.0000001
87,333,0.799217233,0,2.00E-06,2,508,1934,13523,0.0000001
88,633,0.62855892,0,2.00E-06,2,1230,2265,15386,0.0000001
89,933,0.515637557,0,2.00E-06,2,2020,2628,17279,0.0000001
90,1233,0.495620615,0,2.00E-06,2,2208,2665,17367,0.0000001
91,1533,0.483195812,0,2.00E-06,2,2322,2801,18242,0.0000001
92,1833,0.47910087,0,2.00E-06,2,2379,2759,17828,0.0000001
93,2133,0.480931907,0,2.00E-06,2,2381,2559,16401,0.0000001
94,2433,0.399419801,0,2.00E-06,2,3433,2635,16318,0.0000001
95,2733,0.466490901,0,2.00E-06,2,2457,2386,15703,0.0000001
96,3033,0.483689929,0,2.00E-06,2,2343,2643,17025,0.0000001
97,3333,0.473651105,0,2.00E-06,2,2443,2561,16471,0.0000001
98,3633,0.476724805,0,2.00E-06,2,2376,2655,17342,0.0000001
99,3933,0.483377953,0,2.00E-06,2,2322,2902,18886,0.0000001
100,4233,0.379376195,0,2.00E-06,2,3783,2828,17291,0.0000001
101,4533,0.465102458,0,2.00E-06,2,2522,2708,17460,0.0000001
102,0,0,0,3.00E-06,1,0,0,0,0.0000001
103,31,0.792202572,0,3.00E-06,1,517,1971,13650,0.0000001
104,213,0.798138984,0,3.00E-06,1,497,2158,14990,0.0000001
105,393,0.591185564,0,3.00E-06,1,1424,2192,14530,0.0000001
106,573,0.4905717,0,3.00E-06,1,2196,2410,15556,0.0000001
107,753,0.487599544,0,3.00E-06,1,2215,2206,14286,0.0000001
108,933,0.464345112,0,3.00E-06,1,2499,2362,14883,0.0000001
109,1113,0.473077665,0,3.00E-06,1,2330,2405,15693,0.0000001
110,1293,0.471415433,0,3.00E-06,1,2358,2233,14494,0.0000001
111,1473,0.465157104,0,3.00E-06,1,2414,2153,13998,0.0000001
112,1653,0.440990781,0,3.00E-06,1,2714,2389,15231,0.0000001
113,1833,0.48194784,0,3.00E-06,1,2286,2342,15032,0.0000001
114,2013,0.500587893,0,3.00E-06,1,2102,2449,15866,0.0000001
115,2193,0.445570902,0,3.00E-06,1,2663,2629,16768,0.0000001
116,2373,0.478217112,0,3.00E-06,1,2307,2545,16430,0.0000001
117,2553,0.478613496,0,3.00E-06,1,2289,2523,16390,0.0000001
118,2733,0.440043575,0,3.00E-06,1,2753,2544,16051,0.0000001
119,0,0,0,3.00E-06,2,0,0,0,0.0000001
120,31,0.882172915,0,3.00E-06,2,308,2306,16157,0.0000001
121,213,0.873941822,0,3.00E-06,2,342,2289,15598,0.0000001
122,393,0.675800923,0,3.00E-06,2,1162,2454,16369,0.0000001
123,573,0.569701307,0,3.00E-06,2,1847,2393,15811,0.0000001
124,753,0.53870135,0,3.00E-06,2,2130,2242,14563,0.0000001
125,933,0.529052845,0,3.00E-06,2,2238,2401,15430,0.0000001
126,1113,0.506871937,0,3.00E-06,2,2431,2796,18079,0.0000001
127,1293,0.530431005,0,3.00E-06,2,2224,2386,15345,0.0000001
128,1473,0.517597685,0,3.00E-06,2,2345,2356,15129,0.0000001
129,1653,0.535884393,0,3.00E-06,2,2151,2675,17402,0.0000001
130,1833,0.536122794,0,3.00E-06,2,2129,2502,16429,0.0000001
131,2013,0.513210481,0,3.00E-06,2,2397,2460,15728,0.0000001
132,2193,0.532783559,0,3.00E-06,2,2163,2963,19409,0.0000001
133,2373,0.523002109,0,3.00E-06,2,2280,2410,15576,0.0000001
134,2553,0.522678306,0,3.00E-06,2,2306,2532,16201,0.0000001
135,2733,0.535105783,0,3.00E-06,2,2125,2579,17036,0.0000001
136,0,0,0,4.00E-06,1,0,0,0,0.0000001
137,31,0.85380588,0,4.00E-06,1,363,2120,14988,0.0000001
138,213,0.82203974,0,4.00E-06,1,460,2198,15504,0.0000001
139,393,0.574558243,0,4.00E-06,1,1676,2340,15495,0.0000001
140,573,0.553238235,0,4.00E-06,1,1849,2548,16679,0.0000001
141,753,0.51038556,0,4.00E-06,1,2216,2603,16889,0.0000001
142,933,0.543078833,0,4.00E-06,1,1936,2549,16603,0.0000001
143,1113,0.506084474,0,4.00E-06,1,2280,2702,17335,0.0000001
144,1293,0.504180356,0,4.00E-06,1,2272,2388,15492,0.0000001
145,1473,0.469841421,0,4.00E-06,1,2630,3092,19883,0.0000001
146,1653,0.520501095,0,4.00E-06,1,2099,2524,16603,0.0000001
147,1833,0.498983585,0,4.00E-06,1,2333,2506,16165,0.0000001
148,2013,0.527214762,0,4.00E-06,1,2040,2428,15997,0.0000001
149,2193,0.519976714,0,4.00E-06,1,2101,2891,19039,0.0000001
150,2373,0.495301551,0,4.00E-06,1,2337,2798,18285,0.0000001
151,2553,0.502761059,0,4.00E-06,1,2287,2579,16716,0.0000001
152,2733,0.516353098,0,4.00E-06,1,2150,2753,17976,0.0000001
153,0,0,0,4.00E-06,2,0,0,0,0.0000001
154,31,0.881518405,0,4.00E-06,2,309,2299,16123,0.0000001
155,213,0.842830907,0,4.00E-06,2,438,2344,16090,0.0000001
156,393,0.612295381,0,4.00E-06,2,1512,2222,15003,0.0000001
157,573,0.58929507,0,4.00E-06,2,1705,2464,16239,0.0000001
158,753,0.550282338,0,4.00E-06,2,2019,2514,16407,0.0000001
159,933,0.545166693,0,4.00E-06,2,2076,2317,15013,0.0000001
160,1113,0.539213101,0,4.00E-06,2,2102,2468,16177,0.0000001
161,1293,0.541992416,0,4.00E-06,2,2093,2545,16567,0.0000001
162,1473,0.531890418,0,4.00E-06,2,2171,2459,16072,0.0000001
163,1653,0.534730741,0,4.00E-06,2,2164,2258,14638,0.0000001
