Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.5290771175726928,0,0.0,1,1e-07,5e-07
0.0,0.5051334702258727,0,0.0,1,1e-07,5e-07
0.0,0.5369075369075369,0,0.0,1,1e-07,5e-07
0.0,0.48776978417266187,0,0.0,1,1e-07,5e-07
151.63,0.5327313769751693,0,0.0,1,1e-07,5e-07
151.63,0.49633641287034086,0,0.0,1,1e-07,5e-07
211.63,0.5702127659574469,0,0.0,1,1e-07,5e-07
211.63,0.5201329885482083,0,0.0,1,1e-07,5e-07
279.788,0.49414316702819955,0,0.0,1,1e-07,5e-07
279.788,0.5244342407346672,0,0.0,1,1e-07,5e-07
399.788,0.5446724023825281,0,0.0,1,1e-07,5e-07
399.788,0.5325779036827195,0,0.0,1,1e-07,5e-07
407.946,0.49299719887955185,0,0.0,1,1e-07,5e-07
407.946,0.5274956217162872,0,0.0,1,1e-07,5e-07
536.104,0.48926868044515104,0,0.0,1,1e-07,5e-07
536.104,0.5310077519379846,0,0.0,1,1e-07,5e-07
587.946,0.5463237718430597,0,0.0,1,1e-07,5e-07
587.946,0.5478899082568808,0,0.0,1,1e-07,5e-07
664.262,0.4922764227642276,0,0.0,1,1e-07,5e-07
664.262,0.527643400138217,0,0.0,1,1e-07,5e-07
776.104,0.5358108108108108,0,0.0,1,1e-07,5e-07
776.104,0.551092318534179,0,0.0,1,1e-07,5e-07
792.42,0.4918166939443535,0,0.0,1,1e-07,5e-07
792.42,0.5278350515463918,0,0.0,1,1e-07,5e-07
920.578,0.5084491175366128,0,0.0,1,1e-07,5e-07
920.578,0.5143069490895578,0,0.0,1,1e-07,5e-07
964.262,0.5240693196405648,0,0.0,1,1e-07,5e-07
964.262,0.5213058419243987,0,0.0,1,1e-07,5e-07
1048.736,0.5182926829268293,0,0.0,1,1e-07,5e-07
1048.736,0.5038971161340607,0,0.0,1,1e-07,5e-07
1152.42,0.5260855982505467,0,0.0,1,1e-07,5e-07
1152.42,0.5081455805892547,0,0.0,1,1e-07,5e-07
1176.894,0.5027932960893855,0,0.0,1,1e-07,5e-07
1176.894,0.5189606741573034,0,0.0,1,1e-07,5e-07
1305.052,0.5089797478028276,0,0.0,1,1e-07,5e-07
1305.052,0.5137011326269638,0,0.0,1,1e-07,5e-07
1340.578,0.5198083067092651,0,0.0,1,1e-07,5e-07
1340.578,0.5152232746955345,0,0.0,1,1e-07,5e-07
1433.21,0.5007616146230007,0,0.0,1,1e-07,5e-07
1433.21,0.5216275659824047,0,0.0,1,1e-07,5e-07
1528.736,0.5349628712871287,0,0.0,1,1e-07,5e-07
1528.736,0.49789768745620183,0,0.0,1,1e-07,5e-07
1561.368,0.5132645541635962,0,0.0,1,1e-07,5e-07
1561.368,0.509469696969697,0,0.0,1,1e-07,5e-07
1689.526,0.5064562410329986,0,0.0,1,1e-07,5e-07
1689.526,0.5167575993764614,0,0.0,1,1e-07,5e-07
1716.894,0.515987460815047,0,0.0,1,1e-07,5e-07
1716.894,0.5193370165745856,0,0.0,1,1e-07,5e-07
1817.684,0.5009022013713461,0,0.0,1,1e-07,5e-07
1817.684,0.5226480836236934,0,0.0,1,1e-07,5e-07
1905.052,0.523153942428035,0,0.0,1,1e-07,5e-07
1905.052,0.5114186851211072,0,0.0,1,1e-07,5e-07
1945.842,0.5067014147431125,0,0.0,1,1e-07,5e-07
1945.842,0.5161169415292354,0,0.0,1,1e-07,5e-07
2093.21,0.5122030589000977,0,0.0,1,1e-07,5e-07
2093.21,0.5230667109193495,0,0.0,1,1e-07,5e-07
2281.368,0.5146694945210322,0,0.0,1,1e-07,5e-07
2281.368,0.5201105311636476,0,0.0,1,1e-07,5e-07
2469.526,0.5205169628432956,0,0.0,1,1e-07,5e-07
2469.526,0.5145436308926781,0,0.0,1,1e-07,5e-07
2657.684,0.5205110961667787,0,0.0,1,1e-07,5e-07
2657.684,0.5147814910025706,0,0.0,1,1e-07,5e-07
2845.842,0.5120071153276016,0,0.0,1,1e-07,5e-07
2845.842,0.524511610762993,0,0.0,1,1e-07,5e-07
0.0,0.5406091370558376,0,5e-07,1,1e-07,5e-07
0.0,0.5204286671131949,0,5e-07,1,1e-07,5e-07
271.63,0.5636070853462157,0,5e-07,1,1e-07,5e-07
271.63,0.5409660107334526,0,5e-07,1,1e-07,5e-07
519.788,0.5799457994579946,0,5e-07,1,1e-07,5e-07
519.788,0.5308908045977011,0,5e-07,1,1e-07,5e-07
767.946,0.54555047485051,0,5e-07,1,1e-07,5e-07
767.946,0.5534195933456562,0,5e-07,1,1e-07,5e-07
1016.104,0.5514511873350924,0,5e-07,1,1e-07,5e-07
1016.104,0.5734791524265208,0,5e-07,1,1e-07,5e-07
1264.262,0.5534011443102352,0,5e-07,1,1e-07,5e-07
1264.262,0.5245269796776454,0,5e-07,1,1e-07,5e-07
1512.42,0.5696087352138307,0,5e-07,1,1e-07,5e-07
1512.42,0.5284033613445378,0,5e-07,1,1e-07,5e-07
1760.578,0.5055594162612925,0,5e-07,1,1e-07,5e-07
1760.578,0.4891388673390225,0,5e-07,1,1e-07,5e-07
2008.736,0.4996532593619972,0,5e-07,1,1e-07,5e-07
2008.736,0.49225897255453904,0,5e-07,1,1e-07,5e-07
2256.894,0.5298752462245568,0,5e-07,1,1e-07,5e-07
2256.894,0.520893371757925,0,5e-07,1,1e-07,5e-07
2505.052,0.4875,0,5e-07,1,1e-07,5e-07
2505.052,0.4875,0,5e-07,1,1e-07,5e-07
2753.21,0.5290848462393479,0,5e-07,1,1e-07,5e-07
2753.21,0.5047152018106374,0,5e-07,1,1e-07,5e-07
3001.368,0.5053328429569695,0,5e-07,1,1e-07,5e-07
3001.368,0.5053328429569695,0,5e-07,1,1e-07,5e-07
3249.526,0.5093938319744772,0,5e-07,1,1e-07,5e-07
3249.526,0.4970805760996497,0,5e-07,1,1e-07,5e-07
3497.684,0.5649171270718232,0,5e-07,1,1e-07,5e-07
3497.684,0.5649171270718232,0,5e-07,1,1e-07,5e-07
3745.842,0.5306762203313927,0,5e-07,1,1e-07,5e-07
3745.842,0.5336994508237644,0,5e-07,1,1e-07,5e-07
0.0,0.5111731843575419,0,1e-06,1,1e-07,5e-07
0.0,0.5027855153203342,0,1e-06,1,1e-07,5e-07
271.63,0.5284640171858217,0,1e-06,1,1e-07,5e-07
271.63,0.5372507869884575,0,1e-06,1,1e-07,5e-07
519.788,0.5343698854337152,0,1e-06,1,1e-07,5e-07
519.788,0.5360902255639097,0,1e-06,1,1e-07,5e-07
767.946,0.5354649026093348,0,1e-06,1,1e-07,5e-07
767.946,0.5392973560304237,0,1e-06,1,1e-07,5e-07
1016.104,0.5037037037037037,0,1e-06,1,1e-07,5e-07
1016.104,0.5403556771545828,0,1e-06,1,1e-07,5e-07
1264.262,0.5093360995850622,0,1e-06,1,1e-07,5e-07
1264.262,0.5030570652173914,0,1e-06,1,1e-07,5e-07
1512.42,0.4780578898225957,0,1e-06,1,1e-07,5e-07
1512.42,0.47794332456909144,0,1e-06,1,1e-07,5e-07
1760.578,0.4174917491749175,0,1e-06,1,1e-07,5e-07
1760.578,0.4276791584483892,0,1e-06,1,1e-07,5e-07
2008.736,0.39081508515815083,0,1e-06,1,1e-07,5e-07
2008.736,0.39081508515815083,0,1e-06,1,1e-07,5e-07
2256.894,0.38868894601542414,0,1e-06,1,1e-07,5e-07
2256.894,0.3861066235864297,0,1e-06,1,1e-07,5e-07
2505.052,0.35469107551487417,0,1e-06,1,1e-07,5e-07
2505.052,0.3421891604675877,0,1e-06,1,1e-07,5e-07
2753.21,0.3658838071693449,0,1e-06,1,1e-07,5e-07
2753.21,0.296878612716763,0,1e-06,1,1e-07,5e-07
3001.368,0.3080740599351021,0,1e-06,1,1e-07,5e-07
3001.368,0.29328551504283723,0,1e-06,1,1e-07,5e-07
3249.526,0.2737448559670782,0,1e-06,1,1e-07,5e-07
3249.526,0.28445006321112515,0,1e-06,1,1e-07,5e-07
3497.684,0.2481827622014538,0,1e-06,1,1e-07,5e-07
3497.684,0.23034901365705615,0,1e-06,1,1e-07,5e-07
3745.842,0.21942281264315164,0,1e-06,1,1e-07,5e-07
3745.842,0.22832111568031468,0,1e-06,1,1e-07,5e-07
0.0,0.5030467163168585,0,2e-06,1,1e-07,5e-07
0.0,0.502,0,2e-06,1,1e-07,5e-07
0.0,0.5299145299145299,0,2e-06,1,1e-07,5e-07
0.0,0.513166779203241,0,2e-06,1,1e-07,5e-07
211.63,0.5483249903735079,0,2e-06,1,1e-07,5e-07
211.63,0.5637124381894256,0,2e-06,1,1e-07,5e-07
271.63,0.5487266553480475,0,2e-06,1,1e-07,5e-07
271.63,0.5184104994531534,0,2e-06,1,1e-07,5e-07
399.788,0.5090030742204655,0,2e-06,1,1e-07,5e-07
399.788,0.5262036642522369,0,2e-06,1,1e-07,5e-07
519.788,0.5138282387190685,0,2e-06,1,1e-07,5e-07
519.788,0.48379446640316204,0,2e-06,1,1e-07,5e-07
587.946,0.5523745368811047,0,2e-06,1,1e-07,5e-07
587.946,0.5470085470085471,0,2e-06,1,1e-07,5e-07
767.946,0.47204337512707556,0,2e-06,1,1e-07,5e-07
767.946,0.47591781744695183,0,2e-06,1,1e-07,5e-07
776.104,0.515117994100295,0,2e-06,1,1e-07,5e-07
776.104,0.5183518005540166,0,2e-06,1,1e-07,5e-07
964.262,0.45475113122171945,0,2e-06,1,1e-07,5e-07
964.262,0.45476190476190476,0,2e-06,1,1e-07,5e-07
1016.104,0.41695935775213244,0,2e-06,1,1e-07,5e-07
1016.104,0.4028461959496442,0,2e-06,1,1e-07,5e-07
1152.42,0.5238444607483492,0,2e-06,1,1e-07,5e-07
1152.42,0.4880774962742176,0,2e-06,1,1e-07,5e-07
1264.262,0.343521722414456,0,2e-06,1,1e-07,5e-07
1264.262,0.301742015761095,0,2e-06,1,1e-07,5e-07
1340.578,0.47070124879923153,0,2e-06,1,1e-07,5e-07
1340.578,0.4819746670997077,0,2e-06,1,1e-07,5e-07
1512.42,0.2752688172043011,0,2e-06,1,1e-07,5e-07
1512.42,0.26680831689178935,0,2e-06,1,1e-07,5e-07
1528.736,0.41331658291457285,0,2e-06,1,1e-07,5e-07
1528.736,0.3900568181818182,0,2e-06,1,1e-07,5e-07
1716.894,0.3795423956931359,0,2e-06,1,1e-07,5e-07
1716.894,0.36774827925270404,0,2e-06,1,1e-07,5e-07
1760.578,0.21874207456251585,0,2e-06,1,1e-07,5e-07
1760.578,0.2058671491341432,0,2e-06,1,1e-07,5e-07
1905.052,0.3556308213378493,0,2e-06,1,1e-07,5e-07
1905.052,0.33225243202793714,0,2e-06,1,1e-07,5e-07
2008.736,0.19862715188494226,0,2e-06,1,1e-07,5e-07
2008.736,0.1906725888324873,0,2e-06,1,1e-07,5e-07
2093.21,0.32105669109139995,0,2e-06,1,1e-07,5e-07
2093.21,0.3207586494372655,0,2e-06,1,1e-07,5e-07
2256.894,0.2020945372204925,0,2e-06,1,1e-07,5e-07
2256.894,0.18435091879075283,0,2e-06,1,1e-07,5e-07
2281.368,0.38316062176165805,0,2e-06,1,1e-07,5e-07
2281.368,0.37769028871391075,0,2e-06,1,1e-07,5e-07
2469.526,0.31646191646191646,0,2e-06,1,1e-07,5e-07
2469.526,0.3663594470046083,0,2e-06,1,1e-07,5e-07
2505.052,0.16923076923076924,0,2e-06,1,1e-07,5e-07
2505.052,0.16923076923076924,0,2e-06,1,1e-07,5e-07
2657.684,0.3788095725097157,0,2e-06,1,1e-07,5e-07
2657.684,0.3448099974496302,0,2e-06,1,1e-07,5e-07
2753.21,0.16852476017630283,0,2e-06,1,1e-07,5e-07
2753.21,0.16852476017630283,0,2e-06,1,1e-07,5e-07
2845.842,0.3147289586305278,0,2e-06,1,1e-07,5e-07
2845.842,0.3454510848877046,0,2e-06,1,1e-07,5e-07
3001.368,0.17439350772684106,0,2e-06,1,1e-07,5e-07
3001.368,0.17439350772684106,0,2e-06,1,1e-07,5e-07
3249.526,0.1792709705753184,0,2e-06,1,1e-07,5e-07
3249.526,0.1792709705753184,0,2e-06,1,1e-07,5e-07
3497.684,0.16826688364524003,0,2e-06,1,1e-07,5e-07
3497.684,0.16982864137086903,0,2e-06,1,1e-07,5e-07
3745.842,0.150186799501868,0,2e-06,1,1e-07,5e-07
3745.842,0.1596727368698865,0,2e-06,1,1e-07,5e-07
0.0,0.5169186465082793,0,3e-06,1,1e-07,5e-07
0.0,0.5076923076923077,0,3e-06,1,1e-07,5e-07
211.63,0.5461337317893163,0,3e-06,1,1e-07,5e-07
211.63,0.5667534399404983,0,3e-06,1,1e-07,5e-07
399.788,0.49594124468496326,0,3e-06,1,1e-07,5e-07
399.788,0.5065263157894737,0,3e-06,1,1e-07,5e-07
587.946,0.49001692047377327,0,3e-06,1,1e-07,5e-07
587.946,0.5011272141706924,0,3e-06,1,1e-07,5e-07
776.104,0.34612012275317844,0,3e-06,1,1e-07,5e-07
776.104,0.35141509433962265,0,3e-06,1,1e-07,5e-07
964.262,0.24430740037950663,0,3e-06,1,1e-07,5e-07
964.262,0.2425552353506244,0,3e-06,1,1e-07,5e-07
1152.42,0.38109756097560976,0,3e-06,1,1e-07,5e-07
1152.42,0.32554880896777205,0,3e-06,1,1e-07,5e-07
1340.578,0.3047830923248053,0,3e-06,1,1e-07,5e-07
1340.578,0.28890742285237697,0,3e-06,1,1e-07,5e-07
1528.736,0.30952380952380953,0,3e-06,1,1e-07,5e-07
1528.736,0.28549060542797494,0,3e-06,1,1e-07,5e-07
1716.894,0.25375,0,3e-06,1,1e-07,5e-07
1716.894,0.23395193185275326,0,3e-06,1,1e-07,5e-07
1905.052,0.23490461926533185,0,3e-06,1,1e-07,5e-07
1905.052,0.24336973478939158,0,3e-06,1,1e-07,5e-07
2093.21,0.2495518565941101,0,3e-06,1,1e-07,5e-07
2093.21,0.2362898712926693,0,3e-06,1,1e-07,5e-07
2281.368,0.2420602043634355,0,3e-06,1,1e-07,5e-07
2281.368,0.23718633208756007,0,3e-06,1,1e-07,5e-07
2469.526,0.23348494693523933,0,3e-06,1,1e-07,5e-07
2469.526,0.21033825631252978,0,3e-06,1,1e-07,5e-07
2657.684,0.20816892396288791,0,3e-06,1,1e-07,5e-07
2657.684,0.19438214247570224,0,3e-06,1,1e-07,5e-07
2845.842,0.1914871794871795,0,3e-06,1,1e-07,5e-07
2845.842,0.1914871794871795,0,3e-06,1,1e-07,5e-07
0.0,0.5182427401340283,0,5e-06,1,1e-07,5e-07
0.0,0.5153949129852744,0,5e-06,1,1e-07,5e-07
0.0,0.5054229934924078,0,5e-06,1,1e-07,5e-07
0.0,0.5069490403706155,0,5e-06,1,1e-07,5e-07
211.63,0.5428109854604201,0,5e-06,1,1e-07,5e-07
211.63,0.5493679535360437,0,5e-06,1,1e-07,5e-07
211.63,0.5034288019362646,0,5e-06,1,1e-07,5e-07
211.63,0.5628356605800214,0,5e-06,1,1e-07,5e-07
399.788,0.474120082815735,0,5e-06,1,1e-07,5e-07
399.788,0.5183673469387755,0,5e-06,1,1e-07,5e-07
399.788,0.4633946830265849,0,5e-06,1,1e-07,5e-07
399.788,0.489890031926215,0,5e-06,1,1e-07,5e-07
587.946,0.40447007930785867,0,5e-06,1,1e-07,5e-07
587.946,0.43638644918444164,0,5e-06,1,1e-07,5e-07
587.946,0.40192667915440194,0,5e-06,1,1e-07,5e-07
587.946,0.4084908102511002,0,5e-06,1,1e-07,5e-07
776.104,0.329794762915782,0,5e-06,1,1e-07,5e-07
