Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.916335326,0,0,1,1.00E-07
2,0,0.806992106,0,0,1,1.00E-07
3,0,0.95536767,0,0,1,1.00E-07
4,0,0.874729521,0,0,1,1.00E-07
5,122.1591579,0.909468711,0,0,1,1.00E-07
6,182.1591579,0.955987257,0,0,1,1.00E-07
7,182.1591579,0.893709226,0,0,1,1.00E-07
8,244.3183158,0.887867791,0,0,1,1.00E-07
9,364.3183158,0.976805203,0,0,1,1.00E-07
10,364.3183158,0.889703299,0,0,1,1.00E-07
11,366.4774737,0.913338065,0,0,1,1.00E-07
12,488.6366316,0.864052809,0,0,1,1.00E-07
13,546.4774737,0.976339295,0,0,1,1.00E-07
14,546.4774737,0.895423734,0,0,1,1.00E-07
15,610.7957895,0.879683703,0,0,1,1.00E-07
16,728.6366316,0.968718419,0,0,1,1.00E-07
17,728.6366316,0.937603387,0,0,1,1.00E-07
18,732.9549474,0.839575597,0,0,1,1.00E-07
19,855.1141053,0.840986024,0,0,1,1.00E-07
20,910.7957895,0.96921073,0,0,1,1.00E-07
21,910.7957895,0.91716918,0,0,1,1.00E-07
22,977.2732632,0.807030921,0,0,1,1.00E-07
23,1092.954947,0.946169628,0,0,1,1.00E-07
24,1092.954947,0.907062383,0,0,1,1.00E-07
25,1099.432421,0.858680381,0,0,1,1.00E-07
26,1275.114105,0.975966572,0,0,1,1.00E-07
27,1275.114105,0.875522807,0,0,1,1.00E-07
28,1343.750737,0.846493629,0,0,1,1.00E-07
29,1457.273263,0.959440745,0,0,1,1.00E-07
30,1457.273263,0.922718044,0,0,1,1.00E-07
31,1639.432421,0.969077797,0,0,1,1.00E-07
32,1639.432421,0.948933925,0,0,1,1.00E-07
33,1821.591579,1,0,0,1,1.00E-07
34,1821.591579,0.920120362,0,0,1,1.00E-07
35,2003.750737,0.966909092,0,0,1,1.00E-07
36,2003.750737,0.907330399,0,0,1,1.00E-07
37,2185.909895,0.947366005,0,0,1,1.00E-07
38,2185.909895,0.886643819,0,0,1,1.00E-07
39,2368.069053,0.97112827,0,0,1,1.00E-07
40,2368.069053,0.87805685,0,0,1,1.00E-07
41,2550.228211,0.906090922,0,0,1,1.00E-07
42,2550.228211,0.812180935,0,0,1,1.00E-07
43,2732.387368,0.828136084,0,0,1,1.00E-07
44,0,0.785555404,0,5.00E-07,1,1.00E-07
45,0,0.743174077,0,5.00E-07,1,1.00E-07
46,242.1591579,0.81551667,0,5.00E-07,1,1.00E-07
47,242.1591579,0.752879839,0,5.00E-07,1,1.00E-07
48,484.3183158,0.787891425,0,5.00E-07,1,1.00E-07
49,484.3183158,0.776572415,0,5.00E-07,1,1.00E-07
50,726.4774737,0.824628376,0,5.00E-07,1,1.00E-07
51,726.4774737,0.752763422,0,5.00E-07,1,1.00E-07
52,968.6366316,0.794909351,0,5.00E-07,1,1.00E-07
53,968.6366316,0.803484114,0,5.00E-07,1,1.00E-07
54,1210.795789,0.794723297,0,5.00E-07,1,1.00E-07
55,1210.795789,0.754748039,0,5.00E-07,1,1.00E-07
56,1452.954947,0.782954114,0,5.00E-07,1,1.00E-07
57,1452.954947,0.772257714,0,5.00E-07,1,1.00E-07
58,1695.114105,0.808239421,0,5.00E-07,1,1.00E-07
59,1695.114105,0.764730228,0,5.00E-07,1,1.00E-07
60,1937.273263,0.782711436,0,5.00E-07,1,1.00E-07
61,1937.273263,0.799843662,0,5.00E-07,1,1.00E-07
62,2179.432421,0.751315727,0,5.00E-07,1,1.00E-07
63,2179.432421,0.679911663,0,5.00E-07,1,1.00E-07
64,2421.591579,0.805056096,0,5.00E-07,1,1.00E-07
65,2421.591579,0.798711158,0,5.00E-07,1,1.00E-07
66,2663.750737,0.791367212,0,5.00E-07,1,1.00E-07
67,2663.750737,0.756954237,0,5.00E-07,1,1.00E-07
68,2905.909895,0.759181791,0,5.00E-07,1,1.00E-07
69,2905.909895,0.73289746,0,5.00E-07,1,1.00E-07
70,3148.069053,0.716735508,0,5.00E-07,1,1.00E-07
71,3148.069053,0.702891192,0,5.00E-07,1,1.00E-07
72,3390.228211,0.732932746,0,5.00E-07,1,1.00E-07
73,3390.228211,0.659416508,0,5.00E-07,1,1.00E-07
74,3632.387368,0.679302967,0,5.00E-07,1,1.00E-07
75,3632.387368,0.592649846,0,5.00E-07,1,1.00E-07
76,0,0.750395515,0,1.00E-06,1,1.00E-07
77,0,0.733152461,0,1.00E-06,1,1.00E-07
78,242.1591579,0.744371533,0,1.00E-06,1,1.00E-07
79,242.1591579,0.734977535,0,1.00E-06,1,1.00E-07
80,484.3183158,0.758106775,0,1.00E-06,1,1.00E-07
81,484.3183158,0.736317525,0,1.00E-06,1,1.00E-07
82,726.4774737,0.705998833,0,1.00E-06,1,1.00E-07
83,726.4774737,0.7394438,0,1.00E-06,1,1.00E-07
84,968.6366316,0.739344611,0,1.00E-06,1,1.00E-07
85,968.6366316,0.750100943,0,1.00E-06,1,1.00E-07
86,1210.795789,0.726957606,0,1.00E-06,1,1.00E-07
87,1210.795789,0.700295962,0,1.00E-06,1,1.00E-07
88,1452.954947,0.640248511,0,1.00E-06,1,1.00E-07
89,1452.954947,0.68099657,0,1.00E-06,1,1.00E-07
90,1695.114105,0.671770302,0,1.00E-06,1,1.00E-07
91,1695.114105,0.704972311,0,1.00E-06,1,1.00E-07
92,1937.273263,0.616129525,0,1.00E-06,1,1.00E-07
93,1937.273263,0.644591769,0,1.00E-06,1,1.00E-07
94,2179.432421,0.616343043,0,1.00E-06,1,1.00E-07
95,2179.432421,0.624468121,0,1.00E-06,1,1.00E-07
96,2421.591579,0.600929154,0,1.00E-06,1,1.00E-07
97,2421.591579,0.618169787,0,1.00E-06,1,1.00E-07
98,2663.750737,0.537066455,0,1.00E-06,1,1.00E-07
99,2663.750737,0.564842049,0,1.00E-06,1,1.00E-07
100,2905.909895,0.516630368,0,1.00E-06,1,1.00E-07
101,2905.909895,0.510451972,0,1.00E-06,1,1.00E-07
102,3148.069053,0.415796857,0,1.00E-06,1,1.00E-07
103,3148.069053,0.442734992,0,1.00E-06,1,1.00E-07
104,3390.228211,0.346350561,0,1.00E-06,1,1.00E-07
105,3390.228211,0.396462572,0,1.00E-06,1,1.00E-07
106,3632.387368,0.29652454,0,1.00E-06,1,1.00E-07
107,3632.387368,0.342376977,0,1.00E-06,1,1.00E-07
108,0,0.900774218,0,2.00E-06,1,1.00E-07
109,0,0.863506478,0,2.00E-06,1,1.00E-07
110,182.1591579,0.891002681,0,2.00E-06,1,1.00E-07
111,182.1591579,0.871159682,0,2.00E-06,1,1.00E-07
112,364.3183158,0.941774403,0,2.00E-06,1,1.00E-07
113,364.3183158,0.895227605,0,2.00E-06,1,1.00E-07
