Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.5663801337153773,0,0.0,1,1e-07,5e-07
0.0,0.5303186022610483,0,0.0,1,1e-07,5e-07
0.0,0.5369075369075369,0,0.0,1,1e-07,5e-07
0.0,0.48776978417266187,0,0.0,1,1e-07,5e-07
151.63,0.5327313769751693,0,0.0,1,1e-07,5e-07
151.63,0.49633641287034086,0,0.0,1,1e-07,5e-07
211.63,0.527190332326284,0,0.0,1,1e-07,5e-07
211.63,0.5519210799584632,0,0.0,1,1e-07,5e-07
279.788,0.49414316702819955,0,0.0,1,1e-07,5e-07
279.788,0.5244342407346672,0,0.0,1,1e-07,5e-07
399.788,0.569175991861648,0,0.0,1,1e-07,5e-07
399.788,0.5827147401908802,0,0.0,1,1e-07,5e-07
407.946,0.49299719887955185,0,0.0,1,1e-07,5e-07
407.946,0.5274956217162872,0,0.0,1,1e-07,5e-07
536.104,0.48926868044515104,0,0.0,1,1e-07,5e-07
536.104,0.5310077519379846,0,0.0,1,1e-07,5e-07
587.946,0.5374541644840231,0,0.0,1,1e-07,5e-07
587.946,0.5245179063360882,0,0.0,1,1e-07,5e-07
664.262,0.4922764227642276,0,0.0,1,1e-07,5e-07
664.262,0.527643400138217,0,0.0,1,1e-07,5e-07
776.104,0.5136698212407992,0,0.0,1,1e-07,5e-07
776.104,0.5261593341260404,0,0.0,1,1e-07,5e-07
792.42,0.4918166939443535,0,0.0,1,1e-07,5e-07
792.42,0.5278350515463918,0,0.0,1,1e-07,5e-07
920.578,0.5084491175366128,0,0.0,1,1e-07,5e-07
920.578,0.5143069490895578,0,0.0,1,1e-07,5e-07
964.262,0.5286691215149921,0,0.0,1,1e-07,5e-07
964.262,0.5361127422196125,0,0.0,1,1e-07,5e-07
1048.736,0.5182926829268293,0,0.0,1,1e-07,5e-07
1048.736,0.5038971161340607,0,0.0,1,1e-07,5e-07
1152.42,0.5179021684316691,0,0.0,1,1e-07,5e-07
1152.42,0.5366506153023007,0,0.0,1,1e-07,5e-07
1176.894,0.5027932960893855,0,0.0,1,1e-07,5e-07
