Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.5517661388550548,0,0.0,1,1e-07,5e-07
0.0,0.4531422271223815,0,0.0,1,1e-07,5e-07
345.31,0.5439526184538653,0,0.0,1,1e-07,5e-07
345.31,0.4726519337016575,0,0.0,1,1e-07,5e-07
603.942,0.5786641342196898,0,0.0,1,1e-07,5e-07
603.942,0.4980116243499541,0,0.0,1,1e-07,5e-07
862.574,0.557865342848278,0,0.0,1,1e-07,5e-07
862.574,0.4986466165413534,0,0.0,1,1e-07,5e-07
1121.206,0.5280403276622558,0,0.0,1,1e-07,5e-07
1121.206,0.4963747908533185,0,0.0,1,1e-07,5e-07
1379.838,0.5488257107540173,0,0.0,1,1e-07,5e-07
1379.838,0.5178791615289766,0,0.0,1,1e-07,5e-07
1638.47,0.5305744286596664,0,0.0,1,1e-07,5e-07
1638.47,0.5206710605152786,0,0.0,1,1e-07,5e-07
1897.102,0.5338276181649676,0,0.0,1,1e-07,5e-07
1897.102,0.5218967079432195,0,0.0,1,1e-07,5e-07
2155.734,0.5165402124430956,0,0.0,1,1e-07,5e-07
2155.734,0.5187814256137238,0,0.0,1,1e-07,5e-07
2414.366,0.5466025255562237,0,0.0,1,1e-07,5e-07
2414.366,0.521311475409836,0,0.0,1,1e-07,5e-07
2672.998,0.5500149298297999,0,0.0,1,1e-07,5e-07
2672.998,0.5161496642149025,0,0.0,1,1e-07,5e-07
2931.63,0.5360700271657108,0,0.0,1,1e-07,5e-07
2931.63,0.535202293724116,0,0.0,1,1e-07,5e-07
3190.262,0.5098211668132513,0,0.0,1,1e-07,5e-07
3190.262,0.49381650848432557,0,0.0,1,1e-07,5e-07
3448.894,0.5009968669894617,0,0.0,1,1e-07,5e-07
3448.894,0.4989708909144369,0,0.0,1,1e-07,5e-07
3707.526,0.49617238446271617,0,0.0,1,1e-07,5e-07
3707.526,0.5039881831610045,0,0.0,1,1e-07,5e-07
0.0,0.4444444444444444,0,1e-06,1,1e-07,5e-07
0.0,0.4447096260938743,0,1e-06,1,1e-07,5e-07
345.31,0.4758429793658782,0,1e-06,1,1e-07,5e-07
345.31,0.4638919514884234,0,1e-06,1,1e-07,5e-07
603.942,0.46906791311520485,0,1e-06,1,1e-07,5e-07
603.942,0.4315755418958266,0,1e-06,1,1e-07,5e-07
862.574,0.4249084249084249,0,1e-06,1,1e-07,5e-07
862.574,0.44693932103715583,0,1e-06,1,1e-07,5e-07
1121.206,0.42525900345337936,0,1e-06,1,1e-07,5e-07
1121.206,0.34201123021949975,0,1e-06,1,1e-07,5e-07
1379.838,0.426457399103139,0,1e-06,1,1e-07,5e-07
1379.838,0.4342745861733204,0,1e-06,1,1e-07,5e-07
1638.47,0.39627780299591464,0,1e-06,1,1e-07,5e-07
1638.47,0.3388773388773389,0,1e-06,1,1e-07,5e-07
1897.102,0.4038579930227786,0,1e-06,1,1e-07,5e-07
1897.102,0.40500111632060726,0,1e-06,1,1e-07,5e-07
2155.734,0.3864633382076457,0,1e-06,1,1e-07,5e-07
2155.734,0.26747128674323534,0,1e-06,1,1e-07,5e-07
