Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.4088397790055249,0,0.0,1,1e-07,5e-07
0.0,0.4556213017751479,0,0.0,1,1e-07,5e-07
345.31,0.4473684210526316,0,0.0,1,1e-07,5e-07
345.31,0.46901323706377857,0,0.0,1,1e-07,5e-07
603.942,0.44435169727323315,0,0.0,1,1e-07,5e-07
603.942,0.4621922626025791,0,0.0,1,1e-07,5e-07
862.574,0.4535437760571769,0,0.0,1,1e-07,5e-07
862.574,0.5108292079207921,0,0.0,1,1e-07,5e-07
1121.206,0.45439236598372157,0,0.0,1,1e-07,5e-07
1121.206,0.4574874963224478,0,0.0,1,1e-07,5e-07
1379.838,0.433777536034811,0,0.0,1,1e-07,5e-07
1379.838,0.47718343910546995,0,0.0,1,1e-07,5e-07
1638.47,0.4335098968497352,0,0.0,1,1e-07,5e-07
1638.47,0.45592790763165303,0,0.0,1,1e-07,5e-07
1897.102,0.4431205673758865,0,0.0,1,1e-07,5e-07
1897.102,0.4807634953772741,0,0.0,1,1e-07,5e-07
2155.734,0.4429411764705882,0,0.0,1,1e-07,5e-07
2155.734,0.4651422197434467,0,0.0,1,1e-07,5e-07
2414.366,0.44949762030671603,0,0.0,1,1e-07,5e-07
2414.366,0.44237695078031214,0,0.0,1,1e-07,5e-07
2672.998,0.4538638985005767,0,0.0,1,1e-07,5e-07
2672.998,0.4621606008087811,0,0.0,1,1e-07,5e-07
2931.63,0.46194690265486726,0,0.0,1,1e-07,5e-07
2931.63,0.47831474597273854,0,0.0,1,1e-07,5e-07
3190.262,0.4332159306421024,0,0.0,1,1e-07,5e-07
3190.262,0.43186180422264875,0,0.0,1,1e-07,5e-07
3448.894,0.4345205479452055,0,0.0,1,1e-07,5e-07
3448.894,0.43058568329718006,0,0.0,1,1e-07,5e-07
3707.526,0.4379789951745671,0,0.0,1,1e-07,5e-07
3707.526,0.42752293577981654,0,0.0,1,1e-07,5e-07
3966.158,-0.1381798002219756,0,0.0,1,1e-07,5e-07
3966.158,-0.14587852494577006,0,0.0,1,1e-07,5e-07
0.0,0.44079718640093785,0,1e-06,1,1e-07,5e-07
0.0,0.4714038128249567,0,1e-06,1,1e-07,5e-07
345.31,0.4698200812536274,0,1e-06,1,1e-07,5e-07
345.31,0.49681731381285804,0,1e-06,1,1e-07,5e-07
603.942,0.4911123853211009,0,1e-06,1,1e-07,5e-07
603.942,0.4801154586273252,0,1e-06,1,1e-07,5e-07
862.574,0.4988073941562314,0,1e-06,1,1e-07,5e-07
862.574,0.49935022742040286,0,1e-06,1,1e-07,5e-07
1121.206,0.42972385975798943,0,1e-06,1,1e-07,5e-07
