,CNOT8X,0,0,0,0,1.00E-07,1.00E-07,2.00E-07,2.00E-07,3.00E-07,3.00E-07,5.00E-07,5.00E-07,0,0,1.00E-07,1.00E-07,2.00E-07,2.00E-07,3.00E-07,3.00E-07,5.00E-07,5.00E-07,0,0,0,0,1.00E-06,1.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06,0,0,1.00E-06,1.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06
,CAPRIN1,0,1.00E-04,0,0,0,0,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,1.00E-04,0,0,0,0,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
,RNA,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,2.50E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,0.00E+00,0,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,0.00E+00,0,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
1,DD,5534,8080,762,793,817,792,787,903,932,899,899,841,836,814,839,777,809,781,794,782,795,772,13054,17273,2010,1984,1973,1927,1911,2096,2234,2103,2170,1990,2027,1795,1871,1836,1967,1780,1766,1739,1794,1781
1,DA,530,806,746,747,739,730,717,728,726,737,743,738,699,712,719,673,729,718,713,692,715,714,1295,1720,944,965,1003,959,970,1018,1056,1020,1066,994,1002,932,945,922,1024,951,926,918,963,955
1,AA,3,3,3951,3811,3867,3743,3683,3711,3726,3741,3800,3807,3644,3674,3676,3541,3671,3636,3618,3614,3633,3543,2,1,2732,3110,3188,3158,3197,3240,3419,3220,3548,3410,3385,3126,3202,3120,3404,3194,3186,3107,3253,3236
2,DD,6325,8204,786,786,777,790,910,948,1259,1195,1862,1678,831,841,812,762,1460,1255,2365,2002,3046,2652,,,1938,1974,2015,2066,2134,2060,2398,2145,2126,2025,1920,1736,2098,1752,1903,2012,1937,2306,1803,1772
2,DA,615,832,815,832,788,793,811,802,824,801,902,858,789,828,789,767,840,776,921,858,973,928,,,1145,1098,1130,1132,1191,1125,1257,1151,1154,1119,1073,1014,1151,1054,1079,1124,1120,1131,1024,986
2,AA,2,3,4443,4562,4505,4273,4498,4479,4498,4213,4657,4479,4319,4403,4331,4188,4470,4082,4651,4250,4500,4471,,,4432,4048,4132,4289,4640,4267,4823,4497,4449,4220,4153,4057,4591,4272,4026,4277,4369,4458,3797,3669
