Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.88819452,0,0,1,1.00E-07
2,0,0.867194119,0,0,1,1.00E-07
3,345.31,0.871344167,0,0,1,1.00E-07
4,345.31,0.883754776,0,0,1,1.00E-07
5,603.942,0.887528753,0,0,1,1.00E-07
6,603.942,0.953926506,0,0,1,1.00E-07
7,862.574,0.922525072,0,0,1,1.00E-07
8,862.574,0.899022096,0,0,1,1.00E-07
9,1121.206,0.893128279,0,0,1,1.00E-07
10,1121.206,0.950180287,0,0,1,1.00E-07
11,1379.838,0.889800647,0,0,1,1.00E-07
12,1379.838,0.924302859,0,0,1,1.00E-07
13,1638.47,0.895204334,0,0,1,1.00E-07
14,1638.47,0.954171082,0,0,1,1.00E-07
15,1897.102,0.874064597,0,0,1,1.00E-07
16,1897.102,0.892010284,0,0,1,1.00E-07
17,2155.734,0.905170081,0,0,1,1.00E-07
18,2155.734,0.894213483,0,0,1,1.00E-07
19,2414.366,0.880855345,0,0,1,1.00E-07
20,2414.366,0.925474263,0,0,1,1.00E-07
21,2672.998,0.911321928,0,0,1,1.00E-07
22,2672.998,1,0,0,1,1.00E-07
23,2931.63,0.864347334,0,0,1,1.00E-07
24,2931.63,0.914394372,0,0,1,1.00E-07
25,3190.262,0.880323059,0,0,1,1.00E-07
26,3190.262,0.874563553,0,0,1,1.00E-07
27,3448.894,0.891637339,0,0,1,1.00E-07
28,3448.894,0.864389037,0,0,1,1.00E-07
29,3707.526,0.883880943,0,0,1,1.00E-07
30,3707.526,0.870815705,0,0,1,1.00E-07
31,3966.158,0.889113128,0,0,1,1.00E-07
32,3966.158,0.866637569,0,0,1,1.00E-07
33,0,0.84510515,0,1.00E-06,1,1.00E-07
34,0,0.855346539,0,1.00E-06,1,1.00E-07
35,345.31,0.857387031,0,1.00E-06,1,1.00E-07
36,345.31,0.852071431,0,1.00E-06,1,1.00E-07
37,603.942,0.868341877,0,1.00E-06,1,1.00E-07
38,603.942,0.912313701,0,1.00E-06,1,1.00E-07
