Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.936101014,0,0.00E+00,1,1.00E-07
2,0,0.964380591,0,0.00E+00,1,1.00E-07
3,345.31,0.918711746,0,0.00E+00,1,1.00E-07
4,345.31,0.934187512,0,0.00E+00,1,1.00E-07
5,603.942,0.902394322,0,0.00E+00,1,1.00E-07
6,603.942,0.909290941,0,0.00E+00,1,1.00E-07
7,862.574,0.895466327,0,0.00E+00,1,1.00E-07
8,862.574,0.909729954,0,0.00E+00,1,1.00E-07
9,1121.206,0.863576618,0,0.00E+00,1,1.00E-07
10,1121.206,0.928115279,0,0.00E+00,1,1.00E-07
11,1379.838,0.857801403,0,0.00E+00,1,1.00E-07
12,1379.838,0.86224666,0,0.00E+00,1,1.00E-07
13,1638.47,0.847506,0,0.00E+00,1,1.00E-07
14,1638.47,0.89860166,0,0.00E+00,1,1.00E-07
15,1897.102,0.936216499,0,0.00E+00,1,1.00E-07
16,1897.102,0.908614996,0,0.00E+00,1,1.00E-07
17,2155.734,0.856556215,0,0.00E+00,1,1.00E-07
18,2155.734,0.901253144,0,0.00E+00,1,1.00E-07
19,2414.366,0.95457616,0,0.00E+00,1,1.00E-07
20,2414.366,1,0,0.00E+00,1,1.00E-07
21,2672.998,0.897930443,0,0.00E+00,1,1.00E-07
22,2672.998,0.94321713,0,0.00E+00,1,1.00E-07
23,2931.63,0.879397414,0,0.00E+00,1,1.00E-07
24,2931.63,0.921480516,0,0.00E+00,1,1.00E-07
25,3190.262,0.800511504,0,0.00E+00,1,1.00E-07
26,3190.262,0.936067639,0,0.00E+00,1,1.00E-07
27,3448.894,0.890085582,0,0.00E+00,1,1.00E-07
28,3448.894,0.816996231,0,0.00E+00,1,1.00E-07
29,3707.526,0.8136427,0,0.00E+00,1,1.00E-07
30,3707.526,0.766184122,0,0.00E+00,1,1.00E-07
31,3966.158,0.747305749,0,0.00E+00,1,1.00E-07
32,3966.158,0.731335665,0,0.00E+00,1,1.00E-07
33,0,9.51E-01,0,1.00E-06,1,1.00E-07
34,0,0.95813054,0,1.00E-06,1,1.00E-07
35,345.31,9.37E-01,0,1.00E-06,1,1.00E-07
36,345.31,0.956635073,0,1.00E-06,1,1.00E-07
37,603.942,8.12E-01,0,1.00E-06,1,1.00E-07
38,603.942,0.817207074,0,1.00E-06,1,1.00E-07
39,862.574,6.72E-01,0,1.00E-06,1,1.00E-07
40,862.574,0.771983652,0,1.00E-06,1,1.00E-07
41,1121.206,4.98E-01,0,1.00E-06,1,1.00E-07
42,1121.206,0.525191665,0,1.00E-06,1,1.00E-07
43,1379.838,3.94E-01,0,1.00E-06,1,1.00E-07
44,1379.838,0.530940386,0,1.00E-06,1,1.00E-07
45,1638.47,3.11E-01,0,1.00E-06,1,1.00E-07
46,1638.47,0.35602093,0,1.00E-06,1,1.00E-07
47,1897.102,3.06E-01,0,1.00E-06,1,1.00E-07
48,1897.102,0.385583676,0,1.00E-06,1,1.00E-07
49,2155.734,1.94E-01,0,1.00E-06,1,1.00E-07
50,2155.734,0.209760623,0,1.00E-06,1,1.00E-07
51,2414.366,2.32E-01,0,1.00E-06,1,1.00E-07
52,2414.366,0.315858988,0,1.00E-06,1,1.00E-07
53,2672.998,1.56E-01,0,1.00E-06,1,1.00E-07
54,2672.998,0.163682544,0,1.00E-06,1,1.00E-07
55,2931.63,1.39E-01,0,1.00E-06,1,1.00E-07
56,2931.63,0.212011367,0,1.00E-06,1,1.00E-07
57,3190.262,1.14E-01,0,1.00E-06,1,1.00E-07
58,3190.262,0.112205364,0,1.00E-06,1,1.00E-07
59,3448.894,1.13E-01,0,1.00E-06,1,1.00E-07
60,3448.894,0.13840779,0,1.00E-06,1,1.00E-07
61,3707.526,9.46E-02,0,1.00E-06,1,1.00E-07
62,3707.526,0.095398279,0,1.00E-06,1,1.00E-07
63,3966.158,1.07E-01,0,1.00E-06,1,1.00E-07
64,3966.158,0.132737865,0,1.00E-06,1,1.00E-07
65,0,9.83E-01,0,3.00E-06,1,1.00E-07
66,0,0.996142584,0,3.00E-06,1,1.00E-07
67,345.31,6.00E-01,0,3.00E-06,1,1.00E-07
68,345.31,0.688084314,0,3.00E-06,1,1.00E-07
69,603.942,2.52E-01,0,3.00E-06,1,1.00E-07
70,603.942,0.26546623,0,3.00E-06,1,1.00E-07
71,862.574,1.43E-01,0,3.00E-06,1,1.00E-07
72,862.574,0.174180842,0,3.00E-06,1,1.00E-07
73,1121.206,1.04E-01,0,3.00E-06,1,1.00E-07
74,1121.206,0.117236523,0,3.00E-06,1,1.00E-07
75,1379.838,9.30E-02,0,3.00E-06,1,1.00E-07
76,1379.838,0.088039165,0,3.00E-06,1,1.00E-07
77,1638.47,7.40E-02,0,3.00E-06,1,1.00E-07
78,1638.47,0.079760199,0,3.00E-06,1,1.00E-07
79,1897.102,8.57E-02,0,3.00E-06,1,1.00E-07
80,1897.102,0.109733509,0,3.00E-06,1,1.00E-07
81,2155.734,7.28E-02,0,3.00E-06,1,1.00E-07
82,2155.734,0.078503223,0,3.00E-06,1,1.00E-07
83,2414.366,9.56E-02,0,3.00E-06,1,1.00E-07
84,2414.366,0.124378921,0,3.00E-06,1,1.00E-07
85,2672.998,6.22E-02,0,3.00E-06,1,1.00E-07
86,2672.998,0.085304809,0,3.00E-06,1,1.00E-07
87,2931.63,6.92E-02,0,3.00E-06,1,1.00E-07
88,2931.63,0.07283189,0,3.00E-06,1,1.00E-07
89,3190.262,5.93E-02,0,3.00E-06,1,1.00E-07
90,3190.262,0.059833649,0,3.00E-06,1,1.00E-07
91,3448.894,5.83E-02,0,3.00E-06,1,1.00E-07
92,3448.894,0.066095801,0,3.00E-06,1,1.00E-07
93,3707.526,5.29E-02,0,3.00E-06,1,1.00E-07
94,3707.526,0.061090987,0,3.00E-06,1,1.00E-07
95,3966.158,7.02E-02,0,3.00E-06,1,1.00E-07
96,3966.158,0.059763782,0,3.00E-06,1,1.00E-07
97,0,0.98113911,0,5.00E-06,1,1.00E-07
98,0,0.971783118,0,5.00E-06,1,1.00E-07
99,345.31,0.37211396,0,5.00E-06,1,1.00E-07
100,345.31,0.461351745,0,5.00E-06,1,1.00E-07
