Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.935579233,0,0,1,1.00E-07
2,0,0.964325444,0,0,1,1.00E-07
3,345.31,0.9390436,0,0,1,1.00E-07
4,345.31,0.960861077,0,0,1,1.00E-07
5,603.942,0.955184184,0,0,1,1.00E-07
6,603.942,0.944720493,0,0,1,1.00E-07
7,862.574,0.953877975,0,0,1,1.00E-07
8,862.574,0.946026702,0,0,1,1.00E-07
9,1121.206,0.933519571,0,0,1,1.00E-07
10,1121.206,0.966385106,0,0,1,1.00E-07
11,1379.838,0.94978108,0,0,1,1.00E-07
12,1379.838,0.950123597,0,0,1,1.00E-07
13,1638.47,0.942071579,0,0,1,1.00E-07
14,1638.47,0.957833098,0,0,1,1.00E-07
15,1897.102,0.950116221,0,0,1,1.00E-07
16,1897.102,0.949788456,0,0,1,1.00E-07
17,2155.734,0.95351704,0,0,1,1.00E-07
18,2155.734,0.946387637,0,0,1,1.00E-07
19,2414.366,0.957310915,0,0,1,1.00E-07
20,2414.366,0.942593762,0,0,1,1.00E-07
21,2672.998,0.930467146,0,0,1,1.00E-07
22,2672.998,0.969437531,0,0,1,1.00E-07
23,2931.63,0.952535259,0,0,1,1.00E-07
24,2931.63,0.947369418,0,0,1,1.00E-07
25,3190.262,0.954000883,0,0,1,1.00E-07
26,3190.262,0.945903794,0,0,1,1.00E-07
27,3448.894,0.974535235,0,0,1,1.00E-07
28,3448.894,0.925369442,0,0,1,1.00E-07
29,3707.526,0.95034369,0,0,1,1.00E-07
30,3707.526,0.949560987,0,0,1,1.00E-07
31,3966.158,0.960607034,0,0,1,1.00E-07
32,3966.158,0.939297644,0,0,1,1.00E-07
33,0,0.951266275,0,1.00E-06,1,1.00E-07
34,0,0.958062011,0,1.00E-06,1,1.00E-07
35,345.31,0.952949445,0,1.00E-06,1,1.00E-07
36,345.31,0.974164614,0,1.00E-06,1,1.00E-07
37,603.942,0.857609435,0,1.00E-06,1,1.00E-07
38,603.942,0.875470231,0,1.00E-06,1,1.00E-07
39,862.574,0.694455307,0,1.00E-06,1,1.00E-07
40,862.574,0.77936316,0,1.00E-06,1,1.00E-07
41,1121.206,0.539314838,0,1.00E-06,1,1.00E-07
42,1121.206,0.597437344,0,1.00E-06,1,1.00E-07
43,1379.838,0.458694345,0,1.00E-06,1,1.00E-07
44,1379.838,0.625961583,0,1.00E-06,1,1.00E-07
45,1638.47,0.389598646,0,1.00E-06,1,1.00E-07
46,1638.47,0.394094723,0,1.00E-06,1,1.00E-07
47,1897.102,0.361147394,0,1.00E-06,1,1.00E-07
48,1897.102,0.431753499,0,1.00E-06,1,1.00E-07
49,2155.734,0.287492,0,1.00E-06,1,1.00E-07
50,2155.734,0.313478626,0,1.00E-06,1,1.00E-07
51,2414.366,0.270026331,0,1.00E-06,1,1.00E-07
52,2414.366,0.36486999,0,1.00E-06,1,1.00E-07
53,2672.998,0.247450897,0,1.00E-06,1,1.00E-07
54,2672.998,0.275902227,0,1.00E-06,1,1.00E-07
55,2931.63,0.243552504,0,1.00E-06,1,1.00E-07
56,2931.63,0.292625252,0,1.00E-06,1,1.00E-07
57,3190.262,0.248355216,0,1.00E-06,1,1.00E-07
58,3190.262,0.24558305,0,1.00E-06,1,1.00E-07
59,3448.894,0.241498659,0,1.00E-06,1,1.00E-07
60,3448.894,0.261467567,0,1.00E-06,1,1.00E-07
61,3707.526,0.264264419,0,1.00E-06,1,1.00E-07
62,3707.526,0.239931231,0,1.00E-06,1,1.00E-07
63,3966.158,0.238056945,0,1.00E-06,1,1.00E-07
64,3966.158,0.296485189,0,1.00E-06,1,1.00E-07
65,0,0.98334362,0,3.00E-06,1,1.00E-07
66,0,0.996155443,0,3.00E-06,1,1.00E-07
67,345.31,0.64596071,0,3.00E-06,1,1.00E-07
68,345.31,0.686524738,0,3.00E-06,1,1.00E-07
69,603.942,0.34622331,0,3.00E-06,1,1.00E-07
70,603.942,0.342026351,0,3.00E-06,1,1.00E-07
71,862.574,0.209077505,0,3.00E-06,1,1.00E-07
72,862.574,0.252713757,0,3.00E-06,1,1.00E-07
73,1121.206,0.199710221,0,3.00E-06,1,1.00E-07
74,1121.206,0.204756045,0,3.00E-06,1,1.00E-07
75,1379.838,0.199613397,0,3.00E-06,1,1.00E-07
76,1379.838,0.182829627,0,3.00E-06,1,1.00E-07
77,1638.47,0.183687386,0,3.00E-06,1,1.00E-07
78,1638.47,0.156458999,0,3.00E-06,1,1.00E-07
79,1897.102,0.180203836,0,3.00E-06,1,1.00E-07
80,1897.102,0.15942924,0,3.00E-06,1,1.00E-07
81,2155.734,0.167231309,0,3.00E-06,1,1.00E-07
82,2155.734,0.1758497,0,3.00E-06,1,1.00E-07
83,2414.366,0.17970965,0,3.00E-06,1,1.00E-07
84,2414.366,0.176973906,0,3.00E-06,1,1.00E-07
85,2672.998,0.165275316,0,3.00E-06,1,1.00E-07
86,2672.998,0.169967224,0,3.00E-06,1,1.00E-07
87,2931.63,0.172157386,0,3.00E-06,1,1.00E-07
88,2931.63,0.180142009,0,3.00E-06,1,1.00E-07
89,3190.262,0.212348732,0,3.00E-06,1,1.00E-07
90,3190.262,0.205605641,0,3.00E-06,1,1.00E-07
91,3448.894,0.198531054,0,3.00E-06,1,1.00E-07
92,3448.894,0.182902315,0,3.00E-06,1,1.00E-07
93,3707.526,0.208540307,0,3.00E-06,1,1.00E-07
94,3707.526,0.215480502,0,3.00E-06,1,1.00E-07
95,3966.158,0.220831602,0,3.00E-06,1,1.00E-07
96,3966.158,0.232897762,0,3.00E-06,1,1.00E-07
97,0,0.981119845,0,5.00E-06,1,1.00E-07
