Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,1,0,2.00E-05,1,1.00E-04
2,1000,1,0,2.00E-05,1,1.00E-04
3,2000,1,0,2.00E-05,1,1.00E-04
4,3000,0.9,0,2.00E-05,1,1.00E-04
5,4000,0.8,0,2.00E-05,1,1.00E-04
6,5000,0.7,0,2.00E-05,1,1.00E-04
7,6000,0.6,0,2.00E-05,1,1.00E-04
8,7000,0.5,0,2.00E-05,1,1.00E-04
9,8000,0.4,0,2.00E-05,1,1.00E-04
10,9000,0.3,0,2.00E-05,1,1.00E-04
11,10000,0.2,0,2.00E-05,1,1.00E-04
12,11000,0.1,0,2.00E-05,1,1.00E-04
13,12000,0,0,2.00E-05,1,1.00E-04
14,13000,0,0,2.00E-05,1,1.00E-04
15,14000,0,0,2.00E-05,1,1.00E-04
16,15000,0,0,2.00E-05,1,1.00E-04
17,0,1,0,3.00E-05,1,1.00E-04
18,1000,1,0,3.00E-05,1,1.00E-04
19,2000,0.9,0,3.00E-05,1,1.00E-04
20,3000,0.8,0,3.00E-05,1,1.00E-04
21,4000,0.7,0,3.00E-05,1,1.00E-04
22,5000,0.6,0,3.00E-05,1,1.00E-04
23,6000,0.5,0,3.00E-05,1,1.00E-04
24,7000,0.4,0,3.00E-05,1,1.00E-04
25,8000,0.3,0,3.00E-05,1,1.00E-04
26,9000,0.2,0,3.00E-05,1,1.00E-04
27,10000,0.1,0,3.00E-05,1,1.00E-04
28,11000,0,0,3.00E-05,1,1.00E-04
29,12000,0,0,3.00E-05,1,1.00E-04
30,13000,0,0,3.00E-05,1,1.00E-04
31,14000,0,0,3.00E-05,1,1.00E-04
32,15000,0,0,3.00E-05,1,1.00E-04
33,0,1,0,5.00E-05,1,1.00E-04
34,1000,0.9,0,5.00E-05,1,1.00E-04
35,2000,0.8,0,5.00E-05,1,1.00E-04
36,3000,0.7,0,5.00E-05,1,1.00E-04
37,4000,0.6,0,5.00E-05,1,1.00E-04
38,5000,0.5,0,5.00E-05,1,1.00E-04
39,6000,0.4,0,5.00E-05,1,1.00E-04
40,7000,0.3,0,5.00E-05,1,1.00E-04
41,8000,0.2,0,5.00E-05,1,1.00E-04
42,9000,0.1,0,5.00E-05,1,1.00E-04
43,10000,0,0,5.00E-05,1,1.00E-04
44,11000,0,0,5.00E-05,1,1.00E-04
45,12000,0,0,5.00E-05,1,1.00E-04
46,13000,0,0,5.00E-05,1,1.00E-04
47,14000,0,0,5.00E-05,1,1.00E-04
48,15000,0,0,5.00E-05,1,1.00E-04
